Sample,Mode,Dice,IoU,PixelAccuracy
17,FGSM_Ensemble,0.13572063790367045,0.10628882628540583,0.5941162109375
17,PGD_Ensemble,0.14735779599449825,0.12078743305610995,0.6507568359375
18,Single,0.18059392645927386,0.1460880900401019,0.815185546875
18,Ensemble,0.18977017290116396,0.15994509434118348,0.850830078125
18,FGSM_Single,0.08311040103327967,0.055395837240457886,0.3115234375
18,PGD_Single,0.038741423188678126,0.023618006075805213,0.1956787109375
18,FGSM_Ensemble,0.12368021998795016,0.09153038762746929,0.6474609375
18,PGD_Ensemble,0.1167084101838541,0.08294676547966424,0.6146240234375
19,Single,0.16807479270048625,0.14231069673107427,0.7498779296875
19,Ensemble,0.18917131686268965,0.16191578433159226,0.8167724609375
19,FGSM_Single,0.09858966415159534,0.07132843034817872,0.356201171875
19,PGD_Single,0.05126114771608402,0.03424332246701317,0.2188720703125
19,FGSM_Ensemble,0.1276932840434457,0.09891980158230175,0.587646484375
19,PGD_Ensemble,0.09317197057549438,0.06587362822742537,0.527099609375

# Summary (Average metrics per mode)
Mode,Dice,IoU,PixelAccuracy
Ensemble,0.2005126133099222,0.17417721295746175,0.872454833984375
FGSM_Ensemble,0.13781767644876922,0.10874466071081794,0.6552978515625
FGSM_Single,0.09864355452199006,0.07114576293756579,0.38328857421875
PGD_Ensemble,0.13891373383829658,0.106981149420093,0.635577392578125
PGD_Single,0.04967524368986788,0.03325644668595014,0.17769775390625
Single,0.1947146696537486,0.16759390138331248,0.85272216796875
